"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3717","29/11/2021","1","7","12","26","28","32","21","32","2","4","2","1","2","1","0","0","0","3","83354","124","1387","408","230","7062","50","10918","25","116758","10","0","250062","171988","93840","353100","272950","1167580","135273","2309520"
"3716","25/11/2021","6","20","27","32","40","44","4","20","1","5","1","1","1","2","1","2","562221","2","118363","85","1915","250","356","4148","50","6857","25","79308","10","1124442","236726","162775","89000","207400","171425","793080","90652","2784848"
"3715","22/11/2021","1","3","16","20","35","41","5","1","4","2","2","2","0","1","1","1","2819063","5","71498","135","1821","461","291","6901","50","13117","25","129009","10","2819063","357490","245835","134151","345050","327925","1290090","149629","5519604"
"3714","18/11/2021","1","10","39","43","45","48","14","43,48","4","2","2","0","0","1","3","0","0","3","78667","80","2029","188","471","3601","50","5278","25","73433","10","0","236001","162320","88548","180050","131950","734330","82583","1533199"
"3713","15/11/2021","23","27","31","34","43","48","1","48","4","2","0","0","2","2","2","3","3612023","9","125589","471","1650","1090","389","22514","50","30093","25","405250","10","10836069","1130301","777150","424010","1125700","752325","4052500","459430","19098055"
"3712","11/11/2021","5","7","12","35","48","49","2","7,35","4","2","2","1","0","1","2","0","0","5","105254","255","1419","558","354","11483","50","17055","25","208448","10","0","526270","361845","197532","574150","426375","2084480","237804","4170652"
"3711","8/11/2021","7","8","20","31","35","41","3","7","4","2","2","1","0","2","1","0","0","3","208239","141","1845","452","314","8018","50","13096","25","150381","10","0","624717","260145","141928","400900","327400","1503810","172091","3258900"
"3710","4/11/2021","7","18","22","36","44","45","30","7,22","2","4","1","1","1","1","2","0","0","0","0","74","2291","165","561","4727","50","5881","25","85625","10","0","0","169534","92565","236350","147025","856250","96472","1501724"
"3709","1/11/2021","7","15","22","24","26","37","9","","3","3","1","1","3","1","0","2","5442802","8","143734","487","1624","1379","313","24584","50","39394","25","442317","10","10885604","1149872","790888","431627","1229200","984850","4423170","508171","19895211"
"3708","28/10/2021","3","20","27","34","35","46","37","","3","3","1","1","1","2","1","0","0","4","137526","231","1638","442","467","10409","50","13406","25","195098","10","0","550104","378378","206414","520450","335150","1950980","219590","3941476"
