"Draw","Date","Grouping","Number_of_winners","Prize_money"
"3302","18/9/2017","Group 1","1","8030687"
"3301","14/9/2017","Group 1","0","0"
"3300","11/9/2017","Group 1","0","0"
"3299","7/9/2017","Group 1","0","0"
"3298","4/9/2017","Group 1","2","2311781"
"3297","31/8/2017","Group 1","0","0"
"3296","28/8/2017","Group 1","0","0"
"3295","24/8/2017","Group 1","1","1020676"
"3294","21/8/2017","Group 1","1","7922612"
"3293","17/8/2017","Group 1","0","0"
"3292","14/8/2017","Group 1","0","0"
"3291","10/8/2017","Group 1","0","0"
"3290","7/8/2017","Group 1","2","555258"
"3289","3/8/2017","Group 1","1","1074800"
"3288","31/7/2017","Group 1","1","2469476"
"3287","27/7/2017","Group 1","0","0"
"3286","24/7/2017","Group 1","1","4418860"
"3285","20/7/2017","Group 1","0","0"
"3284","17/7/2017","Group 1","0","0"
"3283","13/7/2017","Group 1","1","1059604"
"3282","10/7/2017","Group 1","1","2546945"
"3281","6/7/2017","Group 1","0","0"
"3280","3/7/2017","Group 1","2","559576"
"3279","29/6/2017","Group 1","2","2195158"
"3278","26/6/2017","Group 1","0","0"
"3277","22/6/2017","Group 1","0","0"
"3276","19/6/2017","Group 1","1","4278784"
"3275","15/6/2017","Group 1","0","0"
"3274","12/6/2017","Group 1","0","0"
"3273","8/6/2017","Group 1","1","1046310"
"3272","5/6/2017","Group 1","1","2436206"
"3271","1/6/2017","Group 1","0","0"
"3270","29/5/2017","Group 1","1","2492273"
"3269","25/5/2017","Group 1","0","0"
"3268","22/5/2017","Group 1","1","1099071"
"3267","18/5/2017","Group 1","2","529816"
"3266","15/5/2017","Group 1","2","2233143"
"3265","11/5/2017","Group 1","0","0"
"3264","8/5/2017","Group 1","0","0"
"3263","4/5/2017","Group 1","1","4338512"
"3262","1/5/2017","Group 1","0","0"
"3261","27/4/2017","Group 1","0","0"
"3260","24/4/2017","Group 1","1","1106963"
"3259","20/4/2017","Group 1","1","1075999"
"3258","17/4/2017","Group 1","2","562158"
"3257","13/4/2017","Group 1","1","2582205"
"3256","10/4/2017","Group 1","0","0"
"3255","6/4/2017","Group 1","1","4726002"
"3254","3/4/2017","Group 1","0","0"
"3253","30/3/2017","Group 1","0","0"
"3252","27/3/2017","Group 1","0","0"
"3251","23/3/2017","Group 1","0","0"
"3250","20/3/2017","Group 1","0","0"
"3249","16/3/2017","Group 1","0","0"
"3248","13/3/2017","Group 1","1","4879381"
"3247","9/3/2017","Group 1","0","0"
"3246","6/3/2017","Group 1","0","0"
"3245","2/3/2017","Group 1","1","1241306"
"3244","27/2/2017","Group 1","1","1289621"
"3243","23/2/2017","Group 1","2","4260162"
"3242","20/2/2017","Group 1","0","0"
"3241","16/2/2017","Group 1","0","0"
"3240","13/2/2017","Group 1","0","0"
"3239","10/2/2017","Group 1","4","3000413"
"3238","6/2/2017","Group 1","4","2625703"
"3237","2/2/2017","Group 1","0","0"
"3236","30/1/2017","Group 1","0","0"
"3235","26/1/2017","Group 1","0","0"
"3234","23/1/2017","Group 1","1","4942864"
"3233","19/1/2017","Group 1","0","0"
"3232","16/1/2017","Group 1","0","0"
"3231","12/1/2017","Group 1","2","4081565"
"3230","9/1/2017","Group 1","0","0"
"3229","5/1/2017","Group 1","0","0"
"3228","2/1/2017","Group 1","0","0"
"3227","29/12/2016","Group 1","1","1121765"
"3226","26/12/2016","Group 1","3","368554"
"3225","22/12/2016","Group 1","1","7630364"
"3224","19/12/2016","Group 1","0","0"
"3223","15/12/2016","Group 1","0","0"
"3222","12/12/2016","Group 1","0","0"
"3221","8/12/2016","Group 1","1","1040938"
"3220","5/12/2016","Group 1","1","7433542"
"3219","1/12/2016","Group 1","0","0"
"3218","28/11/2016","Group 1","0","0"
"3217","24/11/2016","Group 1","0","0"
