"Draw","Date","type","VALUE"
"3248","13/3/2017","winning","6"
"3247","9/3/2017","winning","2"
"3246","6/3/2017","winning","16"
"3245","2/3/2017","winning","8"
"3244","27/2/2017","winning","22"
"3243","23/2/2017","winning","7"
"3242","20/2/2017","winning","2"
"3241","16/2/2017","winning","8"
"3240","13/2/2017","winning","7"
"3239","10/2/2017","winning","2"
"3238","6/2/2017","winning","9"
"3237","2/2/2017","winning","11"
"3236","30/1/2017","winning","21"
"3235","26/1/2017","winning","8"
"3234","23/1/2017","winning","5"
"3233","19/1/2017","winning","5"
"3232","16/1/2017","winning","2"
"3231","12/1/2017","winning","3"
"3230","9/1/2017","winning","8"
"3229","5/1/2017","winning","7"
"3228","2/1/2017","winning","1"
"3227","29/12/2016","winning","2"
"3226","26/12/2016","winning","8"
"3225","22/12/2016","winning","3"
"3224","19/12/2016","winning","10"
"3223","15/12/2016","winning","4"
"3222","12/12/2016","winning","2"
"3221","8/12/2016","winning","6"
"3220","5/12/2016","winning","5"
"3219","1/12/2016","winning","3"
"3218","28/11/2016","winning","2"
"3217","24/11/2016","winning","2"
"3216","21/11/2016","winning","4"
"3215","17/11/2016","winning","1"
"3214","14/11/2016","winning","8"
"3213","10/11/2016","winning","17"
"3212","7/11/2016","winning","1"
"3211","3/11/2016","winning","1"
"3210","31/10/2016","winning","14"
"3209","27/10/2016","winning","3"
"3208","24/10/2016","winning","2"
"3207","20/10/2016","winning","5"
"3206","17/10/2016","winning","3"
"3205","13/10/2016","winning","16"
"3204","10/10/2016","winning","3"
"3203","6/10/2016","winning","6"
"3202","3/10/2016","winning","6"
"3201","29/9/2016","winning","1"
"3200","26/9/2016","winning","6"
"3199","22/9/2016","winning","8"
"3198","19/9/2016","winning","14"
"3197","15/9/2016","winning","2"
"3196","12/9/2016","winning","3"
"3195","8/9/2016","winning","4"
"3194","5/9/2016","winning","3"
"3193","1/9/2016","winning","3"
"3192","29/8/2016","winning","11"
"3191","25/8/2016","winning","5"
"3190","22/8/2016","winning","1"
"3189","18/8/2016","winning","2"
"3188","15/8/2016","winning","3"
"3187","11/8/2016","winning","13"
"3186","8/8/2016","winning","4"
"3185","4/8/2016","winning","1"
"3184","1/8/2016","winning","6"
"3183","28/7/2016","winning","4"
"3182","25/7/2016","winning","6"
"3181","21/7/2016","winning","2"
"3180","18/7/2016","winning","8"
"3179","14/7/2016","winning","2"
"3178","11/7/2016","winning","7"
"3177","7/7/2016","winning","4"
"3176","4/7/2016","winning","11"
